date,open,high,low,close,volume,openinterest
2011-07-12,59.1,59.1,58.45,58.7,7229,0
2011-07-13,58.65,59.0,58.45,58.7,3621,0
2011-07-14,59.0,59.05,58.45,58.9,3576,0
2011-07-15,59.0,59.25,58.7,59.2,2571,0
2011-07-18,59.15,59.2,58.4,59.0,2301,0
2011-07-19,58.85,59.05,58.65,58.9,1663,0
2011-07-20,59.5,60.5,59.5,60.45,4232,0
2011-07-21,60.45,60.6,60.35,60.6,1748,0
2011-07-22,60.85,61.15,60.8,61.0,2823,0
2011-07-25,60.5,60.85,60.2,60.4,1591,0
2011-07-26,60.5,61.3,60.5,61.2,2096,0
2011-07-27,61.2,61.45,61.05,61.35,1527,0
2011-07-28,60.8,61.0,60.5,60.85,1428,0
2011-07-29,60.75,60.9,59.9,59.9,2361,0
2011-08-01,60.5,60.5,60.15,60.35,1369,0
2011-08-02,59.9,59.9,59.4,59.55,3306,0
2011-08-03,58.85,58.85,58.2,58.6,8155,0
2011-08-04,58.6,58.85,57.8,57.85,7316,0
2011-08-05,55.7,55.7,54.45,54.45,17533,0
2011-08-08,54.3,54.65,51.4,53.5,13690,0
2011-08-09,51.0,53.5,50.4,53.0,22250,0
2011-08-10,53.95,54.25,53.4,54.1,11360,0
2011-08-11,53.2,54.5,52.7,54.1,7525,0
2011-08-12,54.7,54.85,53.4,53.55,6365,0
2011-08-15,54.2,54.6,54.1,54.6,3732,0
2011-08-16,54.8,55.0,54.1,54.35,3491,0
2011-08-17,54.35,54.5,53.8,53.95,3199,0
2011-08-18,53.4,53.45,52.65,52.95,6953,0
2011-08-19,51.8,51.9,51.1,51.1,10323,0
2011-08-22,51.3,52.45,51.05,51.5,6591,0
2011-08-23,52.1,53.35,51.75,53.3,5648,0
2011-08-24,53.4,53.4,52.1,52.6,5644,0
2011-08-25,53.2,53.3,52.35,52.35,4069,0
2011-08-26,52.8,53.25,52.6,53.05,3882,0
2011-08-29,53.1,54.1,53.1,53.8,4993,0
2011-08-30,54.0,54.4,53.85,54.2,3354,0
2011-08-31,54.1,54.6,53.9,54.55,3878,0
2011-09-01,55.05,56.1,55.05,55.15,7452,0
2011-09-02,55.15,55.3,54.65,55.15,3008,0
2011-09-05,53.95,53.95,53.4,53.6,5621,0
2011-09-06,53.3,53.35,52.3,52.55,7826,0
2011-09-07,53.35,53.6,52.9,53.55,3503,0
2011-09-08,54.0,54.15,53.45,53.7,3393,0
2011-09-09,53.55,54.75,53.55,54.15,4202,0
2011-09-13,53.6,53.75,52.55,52.65,7669,0
2011-09-14,53.15,53.2,51.3,51.6,10867,0
2011-09-15,52.7,53.05,52.3,52.85,5136,0
2011-09-16,53.5,54.15,53.5,54.1,7576,0
2011-09-19,53.85,53.85,53.05,53.2,3632,0
2011-09-20,53.35,53.7,52.5,53.4,3904,0
2011-09-21,53.4,53.95,53.0,53.6,2630,0
2011-09-22,52.6,52.6,51.85,52.1,9539,0
2011-09-23,50.5,50.85,49.93,50.35,18626,0
2011-09-26,50.25,50.3,49.3,49.32,12128,0
2011-09-27,50.5,51.15,50.5,51.1,8296,0
2011-09-28,51.2,51.3,50.9,51.15,4857,0
2011-09-29,50.65,51.75,50.6,51.6,4286,0
2011-09-30,51.45,51.9,51.25,51.65,3030,0
2011-10-03,50.75,51.0,50.15,50.3,7241,0
2011-10-04,49.9,50.75,49.5,50.75,5075,0
2011-10-05,50.9,50.95,50.2,50.25,3858,0
2011-10-06,51.15,51.55,51.0,51.25,5356,0
2011-10-07,51.8,52.15,51.5,51.55,5557,0
2011-10-11,52.75,53.0,52.7,53.0,6578,0
2011-10-12,52.85,53.1,52.5,52.85,3332,0
2011-10-13,53.2,53.2,52.65,52.8,2737,0
2011-10-14,52.6,52.9,52.45,52.45,2315,0
2011-10-17,53.1,53.45,52.8,53.1,3377,0
2011-10-18,52.5,52.7,52.2,52.55,3396,0
2011-10-19,52.6,52.75,52.3,52.35,2457,0
2011-10-20,52.55,52.65,51.75,51.75,4864,0
2011-10-21,51.8,51.95,51.55,51.95,3026,0
2011-10-24,52.45,53.6,52.45,53.6,6602,0
2011-10-25,53.65,53.7,53.45,53.6,4519,0
2011-10-26,51.6,52.15,51.3,52.15,5405,0
2011-10-27,52.15,52.3,51.75,52.25,3549,0
2011-10-28,53.4,53.45,52.35,52.4,5670,0
2011-10-31,52.8,52.95,52.1,52.2,3056,0
2011-11-01,52.2,52.85,51.85,52.55,2708,0
